authored_date,committed_date,before_or_after,id_issue
2020-10-01T22:26:46Z,2020-10-01T22:26:46Z,before,732267627
2020-10-01T21:40:55Z,2020-10-01T21:40:55Z,before,732267627
2020-10-01T20:53:40Z,2020-10-01T20:53:40Z,before,732267627
2020-10-01T20:48:02Z,2020-10-01T20:48:02Z,before,732267627
2020-10-01T19:17:10Z,2020-10-01T20:06:01Z,before,732267627
2020-10-01T18:57:34Z,2020-10-01T20:06:01Z,before,732267627
2020-10-01T18:39:51Z,2020-10-01T20:06:01Z,before,732267627
2020-10-01T18:38:37Z,2020-10-01T20:06:00Z,before,732267627
2020-10-01T18:26:40Z,2020-10-01T20:06:00Z,before,732267627
2020-10-01T18:26:04Z,2020-10-01T18:26:57Z,before,732267627
2020-10-01T18:25:21Z,2020-10-01T18:25:21Z,before,732267627
2020-10-01T15:54:46Z,2020-10-01T15:54:46Z,before,732267627
2020-10-01T15:38:20Z,2020-10-01T15:38:20Z,before,732267627
2020-10-01T15:37:52Z,2020-10-01T15:37:52Z,before,732267627
2020-10-01T14:36:41Z,2020-10-01T14:36:55Z,before,732267627
2020-10-01T14:30:52Z,2020-10-01T14:30:52Z,before,732267627
2020-10-01T13:31:31Z,2020-10-01T13:31:31Z,before,732267627
2020-10-01T13:23:32Z,2020-10-01T13:23:32Z,before,732267627
2020-10-01T13:03:27Z,2020-10-01T13:03:27Z,before,732267627
2020-09-30T21:59:39Z,2020-09-30T21:59:39Z,before,732267627
2020-09-30T21:45:14Z,2020-09-30T21:45:14Z,before,732267627
2020-09-30T20:55:16Z,2020-09-30T20:55:16Z,before,732267627
2020-11-29T20:39:36Z,2020-11-29T20:39:36Z,after,732267627
2020-11-29T20:31:15Z,2020-11-29T20:31:15Z,after,732267627
2020-11-29T19:02:36Z,2020-11-29T19:02:36Z,after,732267627
2020-11-29T18:33:26Z,2020-11-29T18:33:26Z,after,732267627
2020-11-29T17:25:56Z,2020-11-29T17:26:18Z,after,732267627
2020-11-29T17:08:08Z,2020-11-29T17:08:34Z,after,732267627
2020-11-29T17:07:53Z,2020-11-29T17:08:34Z,after,732267627
2020-11-29T02:11:59Z,2020-11-29T02:21:19Z,after,732267627
2020-11-29T01:39:12Z,2020-11-29T01:39:38Z,after,732267627
2020-11-29T00:12:44Z,2020-11-29T00:12:44Z,after,732267627
2020-11-28T23:26:04Z,2020-11-28T23:26:04Z,after,732267627
2020-11-28T23:09:08Z,2020-11-28T23:25:25Z,after,732267627
2020-11-28T15:55:22Z,2020-11-28T23:25:25Z,after,732267627
2020-11-28T15:25:15Z,2020-11-28T23:25:24Z,after,732267627
2020-11-28T15:19:54Z,2020-11-28T23:25:24Z,after,732267627
2020-11-28T15:13:47Z,2020-11-28T23:25:23Z,after,732267627
2020-11-28T21:48:33Z,2020-11-28T21:48:42Z,after,732267627
2020-11-28T21:42:11Z,2020-11-28T21:42:11Z,after,732267627
2020-11-28T21:09:42Z,2020-11-28T21:09:42Z,after,732267627
2020-11-27T22:25:01Z,2020-11-27T22:25:01Z,after,732267627
2020-11-27T22:08:07Z,2020-11-27T22:08:36Z,after,732267627
